input_text,target_text
I feel sad and anxious.,"Sentiment: Negative 😟
Advice: Take deep breaths and try to relax."
"Everything is going well, I am happy!","Sentiment: Positive 😊
Advice: Keep doing what makes you happy!"
I am confused and don't know what to do.,"Sentiment: Neutral 😐
Advice: Clarify your thoughts and seek guidance."
I am feeling really joyful today.,"Sentiment: Positive 😊
Advice: Share your joy with others!"
Everything is perfect right now!,"Sentiment: Positive 😊
Advice: Keep cherishing these moments of happiness!"
Everything is perfect right now!,"Sentiment: Positive 😊
Advice: Continue doing what uplifts you!"
"Things are normal, nothing exciting.","Sentiment: Neutral 😐
Advice: Take time to reflect on your options."
I am unsure about what decision to make.,"Sentiment: Neutral 😐
Advice: Write down your thoughts to gain clarity."
I am full of energy and happiness!,"Sentiment: Positive 😊
Advice: Celebrate your achievements!"
I am full of energy and happiness!,"Sentiment: Positive 😊
Advice: Continue doing what uplifts you!"
I am disappointed and frustrated with everything.,"Sentiment: Negative 😟
Advice: Take a break and practice deep breathing."
"I am feeling okay, nothing special.","Sentiment: Neutral 😐
Advice: Take time to reflect on your options."
I am feeling really joyful today.,"Sentiment: Positive 😊
Advice: Keep cherishing these moments of happiness!"
I am unsure about what decision to make.,"Sentiment: Neutral 😐
Advice: Consider seeking guidance from a friend or mentor."
Nothing seems to be going my way today.,"Sentiment: Negative 😟
Advice: Talk to someone you trust about your feelings."
I am unsure about what decision to make.,"Sentiment: Neutral 😐
Advice: Take time to reflect on your options."
I feel sad and downhearted.,"Sentiment: Negative 😟
Advice: Remember that tough times pass eventually."
"I am feeling okay, nothing special.","Sentiment: Neutral 😐
Advice: Take time to reflect on your options."
Nothing seems to be going my way today.,"Sentiment: Negative 😟
Advice: Take a break and practice deep breathing."
I don't know how I feel about this situation.,"Sentiment: Neutral 😐
Advice: Take time to reflect on your options."
I feel overwhelmed and stressed out.,"Sentiment: Negative 😟
Advice: Take a break and practice deep breathing."
Everything is perfect right now!,"Sentiment: Positive 😊
Advice: Continue doing what uplifts you!"
Today is really tough and discouraging.,"Sentiment: Negative 😟
Advice: Remember that tough times pass eventually."
Life feels amazing today!,"Sentiment: Positive 😊
Advice: Stay positive and keep moving forward!"
